geo_value,time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_res
Eastern,2022-09-25,1.1721202877643948,1.0,minimal,region
Eastern,2022-10-02,2.6060524395510094,2.0,low,region
Eastern,2022-10-09,3.0824628474198263,3.0,moderate,region
Eastern,2022-10-16,2.184046784546144,2.0,low,region
Eastern,2022-10-23,2.8829667199700952,2.0,low,region
Eastern,2022-10-30,2.5610543797843293,2.0,low,region
Eastern,2022-11-06,2.544603315378629,2.0,low,region
Eastern,2022-11-13,2.4408627689664617,2.0,low,region
Eastern,2022-11-20,2.9155467815035188,2.0,low,region
Eastern,2022-11-27,6.957143719868514,4.0,high,region
Eastern,2022-12-04,5.462125049368591,4.0,high,region
Eastern,2022-12-11,7.172907472514896,4.0,high,region
Eastern,2022-12-18,8.923309851283594,5.0,very high,region
Eastern,2022-12-25,13.138962969736982,5.0,very high,region
Eastern,2023-01-01,7.663686657318785,4.0,high,region
Eastern,2023-01-08,5.500098927185623,4.0,high,region
Eastern,2023-01-15,3.784862245719505,3.0,moderate,region
Eastern,2023-01-22,4.820775637478135,4.0,high,region
Eastern,2023-01-29,4.390400797757263,3.0,moderate,region
Eastern,2023-02-05,5.119438374486779,4.0,high,region
Eastern,2023-02-12,7.179669641538391,4.0,high,region
Eastern,2023-02-19,1.248514641185157,1.0,minimal,region
Eastern,2023-02-26,0.7930960872478018,1.0,minimal,region
Eastern,2023-03-05,0.5476791288694389,1.0,minimal,region
Eastern,2023-03-12,1.0795532833034094,1.0,minimal,region
Eastern,2023-03-19,2.746903403859472,2.0,low,region
Eastern,2023-03-26,2.0025943995136704,2.0,low,region
Eastern,2023-04-02,1.4363886189096335,1.0,minimal,region
Eastern,2023-04-09,1.4407338264807323,1.0,minimal,region
Eastern,2023-04-16,1.093115599191805,1.0,minimal,region
Eastern,2023-04-23,1.3338839688984931,1.0,minimal,region
Eastern,2023-04-30,,,,region
Eastern,2023-05-07,1.0836975756719405,1.0,minimal,region
Eastern,2023-05-14,1.0997080556832868,1.0,minimal,region
Eastern,2023-05-21,0.2442702493145726,1.0,minimal,region
Eastern,2023-05-28,1.2371335805960435,1.0,minimal,region
Eastern,2023-06-04,0.3000382240022983,1.0,minimal,region
Eastern,2023-06-11,1.5710907070888338,2.0,low,region
Eastern,2023-06-18,0.7988362329694806,1.0,minimal,region
Eastern,2023-06-25,0.2902471940029734,1.0,minimal,region
Eastern,2023-07-02,2.82906081489048,2.0,low,region
Eastern,2023-07-09,2.720749555163254,2.0,low,region
Eastern,2023-07-16,1.048537105356642,1.0,minimal,region
Eastern,2023-07-23,5.315188729103313,4.0,high,region
Eastern,2023-07-30,3.458977131002056,3.0,moderate,region
Eastern,2023-08-06,3.530977011059851,3.0,moderate,region
Eastern,2023-08-13,6.307005043765374,4.0,high,region
Eastern,2023-08-20,5.059678046535313,4.0,high,region
Eastern,2023-08-27,1.3550670980388464,1.0,minimal,region
Eastern,2023-09-03,3.6778903486370496,3.0,moderate,region
Eastern,2023-09-10,1.1122778421565298,1.0,minimal,region
Eastern,2023-09-17,3.880909972992831,3.0,moderate,region
Eastern,2023-09-24,1.915226185725969,2.0,low,region
Eastern,2023-10-01,3.72368468518929,3.0,moderate,region
Eastern,2023-10-08,1.416644088966517,1.0,minimal,region
Eastern,2023-10-15,2.2389784801091914,2.0,low,region
