geo_value,time_value,geo_res,hosp_fac_BOW_7d_avg
Northern,2021-01-16,region,67.09048841946255
Northern,2021-01-23,region,64.93712959635107
Northern,2021-01-30,region,56.784579715197886
Northern,2021-02-06,region,49.851852984358814
Northern,2021-02-13,region,35.45385090789625
Northern,2021-02-20,region,33.46719287631284
Northern,2021-02-27,region,28.04147399453969
Northern,2021-03-06,region,26.46976098526436
Northern,2021-03-13,region,23.006787610556568
Northern,2021-03-20,region,22.178540416352657
Northern,2021-03-27,region,27.35584839793225
Northern,2021-04-03,region,24.9203003552639
Northern,2021-04-10,region,25.67682670263052
Northern,2021-04-17,region,26.1877260613076
Northern,2021-04-24,region,27.40818848599339
Northern,2021-05-01,region,20.723369339430093
Northern,2021-05-08,region,18.23308813002486
Northern,2021-05-15,region,11.881942655051612
Northern,2021-05-22,region,11.024939037472167
Northern,2021-05-29,region,9.996822980196832
Northern,2021-06-05,region,7.492548853171733
Northern,2021-06-12,region,4.936951116781442
Northern,2021-06-19,region,4.69902520946918
Northern,2021-06-26,region,2.5252945250425025
Northern,2021-07-03,region,1.0478615383825476
Northern,2021-07-10,region,3.7918631196595913
Northern,2021-07-17,region,4.324151812866966
Northern,2021-07-24,region,7.68785412147414
Northern,2021-07-31,region,7.183753447066604
Northern,2021-08-07,region,15.59065232056256
Northern,2021-08-14,region,24.14393366797907
Northern,2021-08-21,region,26.832350339590512
Northern,2021-08-28,region,27.50362147411276
Northern,2021-09-04,region,31.18721714772509
Northern,2021-09-11,region,30.991632827442185
Northern,2021-09-18,region,31.606578247842663
Northern,2021-09-25,region,31.30539761867903
Northern,2021-10-02,region,25.6863194502397
Northern,2021-10-09,region,28.300207679136054
Northern,2021-10-16,region,20.910226366672784
Northern,2021-10-23,region,20.018235466817806
Northern,2021-10-30,region,13.869333797530215
Northern,2021-11-06,region,12.85667296394498
Northern,2021-11-13,region,14.182864480075107
Northern,2021-11-20,region,11.38786530511642
Northern,2021-11-27,region,10.177270969110264
Northern,2021-12-04,region,20.935668096052943
Northern,2021-12-11,region,30.19475865925579
Northern,2021-12-18,region,31.995970126908933
Northern,2021-12-25,region,38.12031725735353
Northern,2022-01-01,region,90.4660025687188
Northern,2022-01-08,region,137.41161428435714
Northern,2022-01-15,region,125.9508469764632
Northern,2022-01-22,region,103.28242059763843
Northern,2022-01-29,region,78.27436349819202
Northern,2022-02-05,region,58.74960136017211
Northern,2022-02-12,region,42.35159658399464
Northern,2022-02-19,region,29.17195262798241
Northern,2022-02-26,region,21.84718832858315
Northern,2022-03-05,region,10.280947235272832
Northern,2022-03-12,region,10.000661586792306
Northern,2022-03-19,region,7.317582482822168
Northern,2022-03-26,region,3.8650741616844666
Northern,2022-04-02,region,6.052591373310635
Northern,2022-04-09,region,4.348600617741435
Northern,2022-04-16,region,6.074003213836025
Northern,2022-04-23,region,7.488522580745598
Northern,2022-04-30,region,10.799227037832516
Northern,2022-05-07,region,17.104996279132855
Northern,2022-05-14,region,16.566174880250507
Northern,2022-05-21,region,28.127840911179756
Northern,2022-05-28,region,23.76144927024601
Northern,2022-06-04,region,27.34890335221493
Northern,2022-06-11,region,25.191624806708933
Northern,2022-06-18,region,29.83610641945227
Northern,2022-06-25,region,26.110698988413468
Northern,2022-07-02,region,26.08898886102662
Northern,2022-07-09,region,26.55101852022363
Northern,2022-07-16,region,29.757210157492658
Northern,2022-07-23,region,31.04594065967456
Northern,2022-07-30,region,30.575518301168245
Northern,2022-08-06,region,32.77441092387572
Northern,2022-08-13,region,33.77311725868266
Northern,2022-08-20,region,29.65851134397964
Northern,2022-08-27,region,26.90004838352768
Northern,2022-09-03,region,28.04704102083751
Northern,2022-09-10,region,30.3428610953748
Northern,2022-09-17,region,24.93612294704389
Northern,2022-09-24,region,19.48266676846668
Northern,2022-10-01,region,19.274974417926053
Northern,2022-10-08,region,23.47377723841404
Northern,2022-10-15,region,19.41880284501508
Northern,2022-10-22,region,15.364014332014394
Northern,2022-10-29,region,19.245351787391726
Northern,2022-11-05,region,24.2944223623003
Northern,2022-11-12,region,23.72363833478137
Northern,2022-11-19,region,18.71715240518208
Northern,2022-11-26,region,16.241578317699275
Northern,2022-12-03,region,28.463711341472287
Northern,2022-12-10,region,30.07012484262936
